count,loss_func,percent
164.0,"Weibull-MSE
Combined",28.1786941580756
90.0,Weibull Only RMLSE,15.463917525773196
88.0,Weibull Only RMSE,15.120274914089347
58.0,Weibull Only MSE,9.965635738831615
51.0,"Weibull-RMSLE
Combined",8.762886597938145
41.0,RMSLE,7.0446735395189
36.0,MSE,6.185567010309279
29.0,RMSE,4.982817869415808
25.0,"Weibull-RMSE
Combined",4.29553264604811
