corr,p_value,loss_func
0.12859531707162403,4.055950613339109e-15,"Weibull-RMSLE
Combined"
0.11667361570430783,1.0803050465850024e-12,RMSLE
-0.05161136046534859,0.0016845635825422653,MSE
-0.05182727879478781,0.0016104307151331401,RMSE
-0.059907393479528094,0.0002657733472872524,"Weibull-RMSE
Combined"
-0.07522116158837466,4.6256277180697635e-06,"Weibull-MSE
Combined"
,,"Weibull Only
MSE"
,,"Weibull Only
RMSE"
,,"Weibull Only
RMLSE"
