date_time,data_set,loss_func,rnd_seed_input,rnd_search_iter,rnd_search_iter_no,beta,eta,epochs,patience,early_stop_delay,batch_size,learning_rate,lambda_mod,n_layers,n_units,prob_drop,epoch_stopped_on,loss_mse_train,loss_rmse_train,loss_mae_train,loss_rmsle_train,r2_train,loss_mse_val,loss_rmse_val,loss_mae_val,loss_rmsle_val,r2_val,r2_val_avg,r2_train_2_avg,r2_train_3_avg,date_time_seed,model_checkpoint_name,r2_test,r2_test_avg,loss_mae_test,loss_rmse_test,loss_rmsle_test,weibull_loss,prob_drop_true,mse,rmse,rmsle,weibull_mse,weibull_rmse,weibull_rmsle,weibull_only_mse,weibull_only_rmse,weibull_only_rmsle
2021_04_05_13:39:12,ims,mse,8342993,3000,2,2.0,63.89398092270162,2000,50,0,256,0.1,2.578059173713694,2,32,0.4,1,0.0648401766244707,0.2477530241012573,0.2076441645622253,0.1681258082389831,0.2611608786515303,0.0559356957674026,0.236507311463356,0.2076441645622253,0.1657145023345947,0.3043990278566097,0.337112662428177,0.6410602601288291,0.2620749956496907,2021_04_05_13:39:12_8342993,2021_04_05_13:39:12_mse_8342993.pt,0.721147583653384,0.7442605504483311,0.12075655162334442,0.14974479377269745,0.10709606856107712,0,1,1,0,0,0,0,0,0,0,0
2021_04_05_13:36:14,ims,weibull_rmsle,1102269,3000,0,2.0,63.89398092270162,2000,50,0,256,0.1,0.4223359416631255,2,64,0.1,1,0.0703871485231251,0.2493351399898529,0.2100488394498825,0.1692124009132385,0.2516944963048942,0.0491660349071025,0.2217341810464859,0.2100488394498825,0.1569591611623764,0.3885846872688828,0.4134342926580844,0.6293676611684849,0.2320243110928836,2021_04_05_13:36:14_1102269,2021_04_05_13:36:14_weibull_rmsle_1102269.pt,0.7211461083045657,0.7381405172895151,0.11818142235279083,0.14974519610404968,0.10916724801063538,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_17:31:10,ims,rmsle,4673030,3000,10,2.0,63.89398092270162,2000,50,0,512,0.01,2.187142675949352,7,32,0.0,3,0.061799655854702,0.2562824487686157,0.2139555364847183,0.1735007315874099,0.20941289946955,0.0577810890972614,0.2403770089149475,0.2139555364847183,0.1680686175823211,0.2814502347298564,0.2896628255843472,0.7071976786992682,0.1775750070971903,2021_04_05_17:31:10_4673030,2021_04_05_17:31:10_rmsle_4673030.pt,0.720381983630278,0.7393995039280981,0.11779652535915375,0.14995022118091583,0.10926900058984756,0,0,0,0,1,0,0,0,0,0,0
2021_04_05_13:37:46,ims,mse,7286648,3000,1,2.0,63.89398092270162,2000,50,0,256,0.1,0.177017054300808,2,256,0.25,2,0.0641818952200741,0.2454755902290344,0.2066738307476043,0.1666246354579925,0.2746819136370911,0.0542047917842865,0.2328192442655563,0.2066738307476043,0.1639233380556106,0.3259240875522287,0.3553475922210094,0.6233653530951209,0.2674443759136232,2021_04_05_13:37:46_7286648,2021_04_05_13:37:46_mse_7286648.pt,0.7196778982138463,0.7409899222263088,0.11988941580057144,0.15013888478279114,0.10821570456027985,0,1,1,0,0,0,0,0,0,0,0
2021_04_05_15:28:58,ims,weibull_rmsle,7355737,3000,3,2.0,63.89398092270162,2000,50,0,32,0.0001,0.3194948041469077,4,256,0.0,4,0.0590328058333636,0.2423126548528671,0.2042868733406067,0.1662668138742447,0.293252714525375,0.045383408665657,0.213033840060234,0.2042868733406067,0.1488026529550552,0.4356244149396137,0.470871704147549,0.6310790152975858,0.2889458868069996,2021_04_05_15:28:58_7355737,2021_04_05_15:28:58_weibull_rmsle_7355737.pt,0.719583223940228,0.7415196714528743,0.11112664639949799,0.15016424655914307,0.11132004857063293,1,0,0,0,0,0,0,1,0,0,0
2021_04_05_14:47:42,ims,weibull_rmsle,8488508,3000,3,2.0,63.89398092270162,2000,50,0,32,0.001,0.7196872964406729,4,256,0.1,1,0.0661122127554041,0.2430058419704437,0.2041564583778381,0.166257694363594,0.2892033052403193,0.0435134321451187,0.2085987627506256,0.2041564583778381,0.1457610130310058,0.4588789631310486,0.4918695326567041,0.685675891843095,0.2755890123039108,2021_04_05_14:47:42_8488508,2021_04_05_14:47:42_weibull_rmsle_8488508.pt,0.719144495925697,0.7398799481432801,0.10943553596735,0.15028166770935059,0.1111670508980751,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_15:00:39,ims,weibull_rmsle,9796286,3000,6,2.0,63.89398092270162,2000,50,0,256,0.1,0.8765698980396174,2,128,0.4,1,0.0732648291721426,0.2459378242492675,0.2069956660270691,0.1672530323266983,0.2719476365892286,0.0534555688500404,0.2312046289443969,0.2069956660270691,0.1630439013242721,0.3352411929507981,0.3628692513254477,0.6164505800125594,0.2680852285592374,2021_04_05_15:00:39_9796286,2021_04_05_15:00:39_weibull_rmsle_9796286.pt,0.7189532930973193,0.7385018793162903,0.11916718631982803,0.15033282339572906,0.10895073413848877,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_14:46:25,ims,rmsle,8137968,3000,1,2.0,63.89398092270162,2000,50,0,256,0.1,0.1397652084463422,2,256,0.5,1,0.0836410790938755,0.2458347380161285,0.2071751654148101,0.1672382205724716,0.2725578342712415,0.0492966100573539,0.2220284193754196,0.2071751654148101,0.1572170704603195,0.3869609146470567,0.4092090149775965,0.6260348213813273,0.2566590216597981,2021_04_05_14:46:25_8137968,2021_04_05_14:46:25_rmsle_8137968.pt,0.7188889188838066,0.7347825614829118,0.11999188363552094,0.15035003423690796,0.10914915055036545,0,1,0,0,1,0,0,0,0,0,0
2021_04_05_13:49:57,ims,weibull_rmsle,5221101,3000,1,2.0,63.89398092270162,2000,50,0,64,0.0001,0.2385945213709482,4,128,0.1,10,0.0581810935035995,0.2404215335845947,0.201676458120346,0.1661902815103531,0.3042412577867665,0.0468540787696838,0.2164580523967743,0.201676458120346,0.1508858054876327,0.4173355393698589,0.4427562075804523,0.6776906083262393,0.2961890331474262,2021_04_05_13:49:57_5221101,2021_04_05_13:49:57_weibull_rmsle_5221101.pt,0.7182411039412281,0.7348654885127237,0.11099512130022049,0.15052317082881927,0.1118760034441948,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_14:48:55,ims,rmsle,9393819,3000,0,2.0,63.89398092270162,2000,50,0,64,0.001,0.9062496216574518,3,256,0.5,3,0.0590170552225216,0.2383010238409042,0.2001890689134597,0.1638170629739761,0.3164602575789309,0.0461362339556217,0.2147934734821319,0.2001890689134597,0.1506871432065963,0.4262625008121138,0.4494884780363428,0.6962779428883081,0.3071296498126127,2021_04_05_14:48:55_9393819,2021_04_05_14:48:55_rmsle_9393819.pt,0.7178138632592469,0.7344349461149176,0.11491630226373672,0.15063725411891937,0.11034572124481201,0,1,0,0,1,0,0,0,0,0,0
2021_04_05_14:24:14,ims,rmsle,5221101,3000,10,2.0,63.89398092270162,2000,50,0,32,0.001,1.915650871625326,4,64,0.0,1,0.0695311676499364,0.2496264427900314,0.2101075798273086,0.1700107753276825,0.249944975286404,0.0469376221299171,0.2166509330272674,0.2101075798273086,0.1517580896615982,0.4162966558430652,0.4367927046192699,0.6672128492341756,0.2142744860671762,2021_04_05_14:24:14_5221101,2021_04_05_14:24:14_rmsle_5221101.pt,0.7177536737693302,0.7315245830917683,0.11298888921737671,0.15065331757068634,0.11184157431125641,0,0,0,0,1,0,0,0,0,0,0
2021_04_05_13:55:09,ims,rmsle,5221101,3000,2,2.0,63.89398092270162,2000,50,0,32,0.001,1.6186346016197035,5,128,0.0,1,0.0679214354848497,0.2350554764270782,0.1966644376516342,0.1632931530475616,0.3349524634914611,0.0591625571250915,0.2432335764169693,0.1966644376516342,0.1703687757253646,0.264270672567065,0.278002588653173,0.6542139361290167,0.3539026819214188,2021_04_05_13:55:09_5221101,2021_04_05_13:55:09_rmsle_5221101.pt,0.7172305214918389,0.7356605786628188,0.11156799644231796,0.15079286694526672,0.11135796457529068,0,0,0,0,1,0,0,0,0,0,0
2021_04_05_14:42:18,ims,rmse,208879,3000,2,2.0,63.89398092270162,2000,50,0,512,0.1,0.2797039917514202,2,16,0.25,1,0.0674794356028238,0.2571225166320801,0.216389313340187,0.1741475164890289,0.2042215445366815,0.0497461222112178,0.2230384051799774,0.216389313340187,0.1575679033994674,0.3813709318872547,0.4004899682982357,0.6269133399337374,0.1664432703006173,2021_04_05_14:42:18_208879,2021_04_05_14:42:18_rmse_208879.pt,0.7154952119630837,0.7286315768396656,0.11936799436807632,0.15125486254692078,0.11087523400783539,0,1,0,1,0,0,0,0,0,0,0
2021_04_05_15:00:15,ims,weibull_rmsle,4085584,3000,12,2.0,63.89398092270162,2000,50,0,64,0.001,1.2849578192553732,4,256,0.2,2,0.0584142037383888,0.2395302802324295,0.2012421190738678,0.1637321561574936,0.3093901056217634,0.0440229140222072,0.2098163962364196,0.2012421190738678,0.1449130326509475,0.4525431293683862,0.4766001104080933,0.7175769632890006,0.2993017458077704,2021_04_05_15:00:15_4085584,2021_04_05_15:00:15_weibull_rmsle_4085584.pt,0.7151064618289971,0.7355779006174823,0.11351586878299713,0.15135815739631653,0.1110340878367424,1,1,0,0,0,0,0,1,0,0,0
