date_time,data_set,loss_func,rnd_seed_input,rnd_search_iter,rnd_search_iter_no,beta,eta,epochs,patience,early_stop_delay,batch_size,learning_rate,lambda_mod,n_layers,n_units,prob_drop,epoch_stopped_on,loss_mse_train,loss_rmse_train,loss_mae_train,loss_rmsle_train,r2_train,loss_mse_val,loss_rmse_val,loss_mae_val,loss_rmsle_val,r2_val,r2_val_avg,r2_train1_1_avg,r2_train2_1_avg,r2_train3_1_avg,r2_val1_2_avg,r2_val2_2_avg,r2_val3_2_avg,date_time_seed,model_checkpoint_name,r2_test,r2_test_avg,loss_mae_test,loss_rmse_test,loss_rmsle_test,weibull_loss,prob_drop_true,mse,rmse,rmsle,weibull_mse,weibull_rmse,weibull_rmsle,weibull_only_mse,weibull_only_rmse,weibull_only_rmsle
2021_04_06_18:27:11,femto,weibull_only_rmsle,6548519,3000,0,2.0,0.199976726035066,2000,50,0,512,0.001,1.6594059693874637,5,32,0.2,72,0.0464735072520044,0.2153384983539581,0.1727106720209121,0.1382564306259155,0.4417089291301743,0.0660342052578926,0.2569712102413177,0.1727106720209121,0.1668097972869873,0.2061480833738728,0.3031282456410694,0.619471569751366,0.2087659459799938,0.0888750303400198,0.1408863468104618,0.2521950803143823,0.2535227406542329,2021_04_06_18:27:11_6548519,2021_04_06_18:27:11_weibull_only_rmsle_6548519.pt,0.5762674033276687,0.8262642647885972,0.13495603203773499,0.18774478137493134,0.1254662126302719,1,1,0,0,0,0,0,0,0,0,1
2021_04_07_08:51:28,femto,weibull_only_rmsle,2842284,3000,1,2.0,0.199976726035066,2000,50,0,512,0.01,0.1098430444720066,4,32,0.0,239,0.051726061436865,0.2233553677797317,0.1817514300346374,0.1436043828725814,0.3993656857235146,0.0554812587797641,0.2355446070432663,0.1817514300346374,0.1524746268987655,0.3330137866274073,0.4390585972873067,0.5279164911508265,0.2817438470681385,0.1249162293560729,0.3083740686192346,0.4418099351338287,0.2886918665517725,2021_04_07_08:51:28_2842284,2021_04_07_08:51:28_weibull_only_rmsle_2842284.pt,0.5744679632781435,0.8683366304331661,0.13787512481212616,0.18814300000667572,0.1251518428325653,1,0,0,0,0,0,0,0,0,0,1
2021_04_06_18:54:55,femto,weibull_mse,1905696,3000,5,2.0,0.199976726035066,2000,50,0,128,0.1,2.410536039268848,4,64,0.4,2,0.0610125881027091,0.2336155772209167,0.1904335170984268,0.1499284356832504,0.3429158445345033,0.065799780189991,0.256514698266983,0.1904335170984268,0.170482724905014,0.2089661514776264,0.2697975372866852,0.4670868975433428,0.3034854545567548,0.1304667452056932,0.3078358099617805,0.1979365521730793,0.1750219451422895,2021_04_06_18:54:55_1905696,2021_04_06_18:54:55_weibull_mse_1905696.pt,0.5720125916312091,0.8753432748037523,0.14641815423965454,0.18868501484394073,0.12425568699836731,1,1,0,0,0,1,0,0,0,0,0
2021_04_06_17:21:29,femto,weibull_only_rmsle,5985110,3000,0,2.0,0.199976726035066,2000,50,0,32,0.001,2.442920196370804,2,128,0.5,472,0.0529365416079985,0.2290202528238296,0.1764091849327087,0.1415275335311889,0.3685119733250905,0.06215151399374,0.2493020743131637,0.1764091849327087,0.1648194640874862,0.2528251013102055,0.4752937378143942,0.4887692380977558,0.3401254622291788,0.2300833193145651,0.29277694852697,0.3062257331656786,0.3622141397225847,2021_04_06_17:21:29_5985110,2021_04_06_17:21:29_weibull_only_rmsle_5985110.pt,0.5719874725327629,0.8230492102712358,0.15675193071365356,0.18869057297706604,0.1393827348947525,1,1,0,0,0,0,0,0,0,0,1
2021_04_07_09:01:52,femto,weibull_only_rmsle,3073860,3000,4,2.0,0.199976726035066,2000,50,0,32,0.01,0.6812136222987739,2,64,0.4,47,0.0538036467676813,0.2337316125631332,0.1812459826469421,0.1443620324134826,0.342263019466039,0.0647898986935615,0.2545386254787445,0.1812459826469421,0.1677111089229583,0.2211068644364109,0.421954733714684,0.4521280932919588,0.3332366935283267,0.1868123320876901,0.1426637563779303,0.2873696368427887,0.3620742527316775,2021_04_07_09:01:52_3073860,2021_04_07_09:01:52_weibull_only_rmsle_3073860.pt,0.565551111134944,0.8267531003641224,0.15785755217075348,0.19010402262210846,0.13675528764724731,1,1,0,0,0,0,0,0,0,0,1
2021_04_06_19:08:16,femto,weibull_only_rmse,6548519,3000,8,2.0,0.199976726035066,2000,50,0,512,0.01,2.653069839820754,5,32,0.1,5,0.04389013018873,0.2070193141698837,0.1559514701366424,0.1347147524356842,0.484012549986613,0.0615929141640663,0.2481792420148849,0.1559514701366424,0.1657332628965377,0.2595404407887141,0.489172618129584,0.6204173420113833,0.4065136686198388,0.2836266351074021,0.2962187921113065,0.4227685501890214,0.3017800784063063,2021_04_06_19:08:16_6548519,2021_04_06_19:08:16_weibull_only_rmse_6548519.pt,0.5612462165918206,0.7419797357543647,0.1501215696334839,0.19104355573654175,0.13591837882995605,1,1,0,0,0,0,0,0,0,1,0
2021_04_06_17:42:02,femto,weibull_only_rmsle,5985110,3000,1,2.0,0.199976726035066,2000,50,0,32,0.01,0.9315349894280786,2,32,0.5,118,0.0512431346190472,0.2293035387992859,0.1758449524641037,0.1420595198869705,0.3669486865957461,0.0658797621726989,0.2566705346107483,0.1758449524641037,0.1703170537948608,0.2080047337385115,0.4348046071324702,0.4904328867821017,0.332130835200072,0.2473827520650915,0.2301742823270609,0.2606604269022373,0.3300872719847684,2021_04_06_17:42:02_5985110,2021_04_06_17:42:02_weibull_only_rmsle_5985110.pt,0.5609830875957289,0.8076441253992783,0.15901818871498108,0.1911008208990097,0.14112170040607452,1,1,0,0,0,0,0,0,0,0,1
2021_04_07_09:59:02,femto,weibull_only_rmse,6199916,3000,5,2.0,0.199976726035066,2000,50,0,32,0.0001,1.496619899284476,4,128,0.2,189,0.0348721346606246,0.1871177703142166,0.1351977437734604,0.1218100562691688,0.5784515753967133,0.0654310584068298,0.2557949721813202,0.1351977437734604,0.1692616641521453,0.213399019240643,0.3783050663835462,0.7976795334150284,0.328618140811071,0.190546891913685,0.1298108676574799,0.287508491117272,0.3283860130203674,2021_04_07_09:59:02_6199916,2021_04_07_09:59:02_weibull_only_rmse_6199916.pt,0.5591022512423893,0.7065777051787765,0.15327760577201843,0.19150973856449127,0.13552871346473694,1,1,0,0,0,0,0,0,0,1,0
2021_04_06_22:25:20,femto,weibull_rmsle,2269248,3000,7,2.0,0.199976726035066,2000,50,0,512,0.0001,0.4827569372654612,6,256,0.25,109,0.0308992910302347,0.1795448958873748,0.1400000900030136,0.1154408156871795,0.6118823254691337,0.0612137466669082,0.2474141418933868,0.1400000900030136,0.1641576290130615,0.2640987614031722,0.4061136551525598,0.7995090051808238,0.4370819164473669,0.2325919688512095,0.3422542219849094,0.3142253767724655,0.2609632146685822,2021_04_06_22:25:20_2269248,2021_04_06_22:25:20_weibull_rmsle_2269248.pt,0.5546476377809444,0.7930749635087982,0.1497146487236023,0.19247476756572723,0.13558802008628845,1,1,0,0,0,0,0,1,0,0,0
2021_04_06_18:05:46,femto,weibull_only_rmse,1452705,3000,4,2.0,0.199976726035066,2000,50,0,256,0.0001,1.3508672651133802,7,128,0.2,123,0.0478948854348238,0.2179116308689117,0.1709726005792617,0.1380995810031891,0.4282868245855619,0.0650273635983467,0.2550046443939209,0.1709726005792617,0.1644693911075592,0.2182520442740654,0.2936212044212626,0.6425257887967558,0.1281598608381942,-0.024441159586116,0.1151271168071658,0.2589742498442634,0.2569787195298076,2021_04_06_18:05:46_1452705,2021_04_06_18:05:46_weibull_only_rmse_1452705.pt,0.5542452905235136,0.842660254631189,0.14129772782325745,0.19256168603897095,0.12815609574317932,1,1,0,0,0,0,0,0,0,1,0
